GN_EFFORT_ID,SPECIES,N,WEIGHT
44255,127,4,1133.98
44255,216,21,3005.05
44255,201,2,354.37
44255,204,9,644.95
44255,210,1,198.45
44255,208,9,1807.28
44255,203,11,2445.16
44256,307,28,8511.97
44256,127,6,1856.89
44256,216,9,1814.37
44256,201,4,992.23
44256,204,3,403.98
44256,208,2,439.42
44256,203,8,1821.47
44257,307,24,8490.68
44257,127,9,3557.85
44257,216,10,1644.27
44257,201,1,283.5
44257,204,6,389.81
44257,210,3,893.01
44257,203,6,1431.65
44258,307,12,3444.49
44258,127,3,935.53
44258,216,232,43091.24
44258,201,32,6888.93
44258,202,2,396.89
44258,204,79,13260.48
44258,210,19,5584.85
44258,208,82,14840.96
44258,206,5,737.09
44258,207,2,637.86
44258,205,1,148.83
44258,213,10,
44259,307,29,9291.56
44259,127,6,2516.03
44259,216,167,33877.65
44259,201,44,9780.58
44259,202,1,255.15
44259,204,53,9043.49
44259,210,24,5655.73
44259,208,42,8022.91
44259,206,1,127.57
44259,207,2,581.16
44259,203,1,233.88
44260,307,25,9468.74
44260,127,5,1800.18
44260,216,83,17505.82
44260,201,19,5017.86
44260,202,1,304.76
44260,204,24,3316.89
44260,210,12,3005.05
44260,208,16,3231.84
44260,206,6,1204.85
44260,207,3,793.79
44260,205,1,226.8
44260,203,4,1006.41
44260,213,1,
44261,307,35,11864.28
44261,127,5,1856.9
44261,216,209,40667.36
44261,201,24,6137.68
44261,202,14,3253.13
44261,204,124,22296.82
44261,210,9,2133.32
44261,208,28,
44261,205,1,191.36
44261,203,5,1041.84
44261,213,9,
44262,307,28,9950.67
44262,127,5,1693.88
44262,216,176,36570.86
44262,201,35,9575.08
44262,202,7,1736.41
44262,204,82,15287.52
44262,210,7,1700.98
44262,208,37,7144.09
44262,213,8,
44263,307,30,11679.97
44263,127,3,1105.63
44263,216,70,17123.1
44263,201,18,5662.82
44263,202,1,276.41
44263,204,24,4819.41
44263,210,8,2147.48
44263,208,13,2430.97
44263,203,2,446.51
44263,213,6,
44264,307,1,1041.84
44264,127,6,2211.26
44264,216,274,51567.74
44264,201,63,
44264,204,125,
44264,210,19,
44264,208,67,
44265,307,186,40128.72
44265,127,3,1495.44
44265,201,56,
44265,204,74,
44265,210,15,
44265,216,186,
44265,208,41,
44266,307,5,1856.89
44266,127,4,1608.83
44266,216,89,22700.93
44266,201,46,13621.97
44266,202,1,233.88
44266,204,18,3075.94
44266,210,12,3359.42
44266,208,11,2182.92
44266,207,1,226.8
44267,307,37,10184.6
44267,127,3,822.14
44267,216,79,13409.31
44267,201,12,2501.85
44143,204,172,
44143,210,32,
44143,208,96,
44143,205,2,
44144,127,5,2530.2
44144,216,263,59831.62
44144,201,115,
44144,204,63,
44144,210,19,
44144,208,59,
44144,206,5,
44144,207,2,
44145,127,7,3664.18
44145,216,197,52432.4
44145,201,100,
44145,204,38,
44145,210,34,
44145,208,20,
44145,213,5,
44146,127,11,5450.21
44146,216,389,70576.08
44146,201,109,22574.92
44146,204,159,23072.79
44146,210,24,5322.64
44146,208,53,9000.95
44146,206,5,758.36
44146,213,39,
44147,127,15,10056.98
44147,216,253,51298.42
44147,201,120,
44147,204,87,
44147,210,18,
44147,208,26,
44147,206,2,
44148,127,14,8604.07
44148,216,126,25982.32
44148,201,59,14862.33
44148,204,31,4089.41
44148,210,17,4564.27
44148,208,8,1441.77
44148,213,11,
44149,307,4,2601.07
44149,127,3,2608.16
44149,216,87,16754.55
44149,201,27,5804.53
44149,204,33,5797.46
44149,210,8,1601.74
44149,208,12,2218.34
44149,213,7,
44150,307,7,3246.02
44150,127,8,6307.74
44150,216,41,8405.63
44150,201,16,3805.95
44150,204,18,3175.13
44150,210,3,616.6
44150,208,3,538.64
44150,213,1,
44151,307,7,2686.12
44151,127,3,1119.81
44151,216,29,6775.53
44151,201,11,2884.27
44151,202,1,269.32
44151,204,7,1314.73
44151,210,3,765.45
44151,208,4,737.09
44151,213,3,
44152,307,2,708.74
44152,127,4,2345.91
44152,216,109,21276.3
44152,201,25,5611.24
44152,204,30,5095.82
44152,210,21,4410.92
44152,208,12,2076.61
44152,213,21,
44153,307,1,240.97
44153,127,8,3855.53
44153,216,50,10234.17
44153,201,13,3508.26
44153,204,18,3093.64
44153,210,8,1646.24
44153,208,4,708.74
44153,213,7,
44154,307,2,772.52
44154,127,14,8412.69
44154,216,36,8561.55
44154,201,14,3735.07
44154,204,6,871.75
44154,210,6,1672.61
44154,208,5,956.78
44154,207,1,297.67
44154,213,4,
44155,307,1,212.62
44155,127,2,1020.58
44155,216,130,21418.05
44155,201,10,2175.84
44155,204,2,318.93
44155,210,7,1296.99
44155,208,12,2062.44
44155,206,81,13012.42
44155,205,3,722.92
44155,213,15,
44156,307,1,269.32
44156,127,4,2466.4
44156,216,65,12303.68
44156,201,8,1828.55
44156,204,6,623.68
44156,210,4,751.26
44156,206,38,6435.31
44156,213,6,
44157,307,2,616.6
44157,216,31,5159.61
44157,201,5,1190.67
44157,204,3,304.75
44157,206,14,2374.26
44157,207,1,212.62
44157,213,4,
44158,127,6,3479.9
44158,216,107,19093.39
44158,201,24,5053.31
44158,204,36,5117.06
44158,210,15,2728.64
44158,205,5,956.79
44158,213,13,
44159,127,6,3621.65
44159,216,55,10149.12
44159,202,1,177.18
44159,204,10,1474.19
44159,208,4,566.99
44159,205,3,644.95
44160,307,3,1041.84
44160,127,11,5363.73
44160,201,19,5223.4
44160,204,14,1814.38
44160,210,6,1630.09
44160,205,1,283.5
44161,127,4,2310.49
44161,216,241,42495.9
44161,202,2,425.24
44161,204,95,13864.9
44161,208,36,6045.36
44161,206,12,1786.02
44161,213,23,
44162,216,131,27442.32
44162,201,35,10503.51
44162,204,45,6428.25
44162,208,19,3359.03
44162,206,2,276.41
44162,205,2,411.07
44162,213,13,
44163,216,79,18143.68
44163,201,28,9156.91
44163,204,18,2430.97
44163,210,6,1679.7
44163,205,1,255.15
44163,213,12,
44164,216,263,46393.96
44164,201,78,
44164,202,1,198.45
44164,210,18,3685.45
44164,208,29,4883.18
44164,213,9,
44165,216,142,29795.32
44165,201,57,13757.04
44165,202,1,226.8
44165,210,14,3190.41
44165,208,7,1261.56
44166,127,7,3175.14
44166,216,43,10716.11
44166,202,4,1148.15
44166,210,8,2416.79
44166,208,1,198.45
44166,213,1,
44167,307,7,1814.37
44167,216,67,11991.84
44167,201,13,2494.74
44167,204,35,5747.84
44167,208,13,2133.28
44168,307,11,3160.97
44168,127,3,1679.71
44168,201,9,1934.85
44168,204,23,4025.6
44168,210,4,836.31
44168,213,3,
44206,307,5,1892.33
44206,216,4,800.86
44206,204,3,595.33
44207,127,2,680.38
44207,216,83,16584.46
44207,204,22,3479.92
44207,210,23,4649.3
44207,206,5,772.53
44207,207,2,559.9
44208,307,1,226.8
44208,216,78,17690.09
44208,201,24,6010.12
44208,204,8,1573.41
44208,208,13,2409.72
44208,206,1,163.01
44209,307,1,326.02
44209,127,6,4287.87
44209,201,14,3805.93
44209,204,5,864.67
44209,208,3,517.38
44209,205,2,524.47
44210,307,1,255.15
44210,127,13,8908.83
44210,201,47,11708.38
44210,202,1,170.1
44210,204,47,6392.84
44210,208,37,6300.69
44210,206,98,15939.5
44211,307,3,1275.72
43570,213,3,
43571,307,1,318.93
43571,216,30,2225.44
43571,201,4,
43571,204,12,
43571,210,1,
43571,206,12,
43571,213,1,
43572,307,5,2267.96
43572,127,1,552.82
43572,216,4,219.71
43572,204,4,
43573,307,6,3146.79
43573,216,106,17647.56
43573,201,9,
43573,202,1,
43573,204,12,
43573,210,2,
43573,208,82,
43574,307,4,1020.58
43574,216,51,7626.02
43574,201,4,
43574,204,16,
43574,208,31,
43575,307,7,2211.26
43575,127,1,297.67
43575,216,22,2381.36
43575,201,3,
43575,204,14,
43575,208,5,
43576,307,5,1899.42
43576,127,1,311.84
43576,216,13,2041.16
43254,201,10,2126.2
43254,204,16,1006.39
43254,210,7,1420.32
43254,208,19,3212
43254,206,2,269.32
43254,205,2,683.22
43254,213,3,
43255,307,13,4316.21
43255,127,13,4422.52
43255,216,29,4025.63
43231,204,63,
43231,208,92,
43255,201,8,1737.83
43255,204,12,703.04
43255,210,5,1097.14
43255,208,1,144.58
43255,213,3,
43256,307,10,3323.98
43256,127,16,6173.1
43256,216,37,2990.87
43256,204,25,1255.86
43256,210,3,669.05
43256,208,4,501.78
43256,205,1,286.33
43256,213,4,
43257,307,12,4465.05
43257,127,46,21368.44
43257,216,16,1374.95
43257,204,14,759.73
43257,207,1,588.25
43257,213,1,
43258,307,7,1644.27
43258,127,1,198.45
43258,216,186,23756.88
43258,201,12,
43258,204,46,
43258,210,36,
43258,208,92,
43259,307,8,2466.41
43259,216,60,9723.88
43259,201,7,
43259,204,14,
43259,210,10,
43259,208,29,
43260,307,7,2239.61
43260,127,1,326.02
43260,216,49,6151.84
43260,201,2,
43260,204,17,
43260,210,9,
43260,208,13,
43260,213,8,
43261,307,8,3486.99
43261,127,6,1899.42
43261,216,40,4592.62
43261,201,3,
43261,204,26,
43261,210,4,
43261,208,7,
43262,307,7,4450.87
43262,127,8,3742.13
43262,216,40,2182.91
43262,201,1,
43262,204,37,
43262,213,2,
43263,307,7,2182.91
43263,216,150,21970.86
43263,201,12,
43263,204,31,
43263,210,8,
43263,208,95,
43263,206,4,
43264,307,8,2381.36
43264,216,61,10319.22
43264,201,6,
43264,204,11,
43264,210,17,
43264,208,21,
43290,210,1,
43290,208,29,
43290,206,3,
43290,207,1,
43290,213,1,
43291,307,1,510.29
43291,127,4,1559.22
43291,216,22,3628.74
43291,204,6,
43291,208,11,
43291,206,1,
43291,207,2,
43291,213,2,
43292,307,2,1360.78
43292,127,2,1105.63
43292,216,8,1247.38
43292,204,3,
43292,206,4,
43292,207,1,
43293,307,13,3455.09
43293,216,127,14118.05
43293,201,9,1227.53
43293,204,58,4663.46
43293,210,4,734.25
43293,208,45,6109.33
43293,213,9,
43294,307,8,2182.92
43294,216,42,4028.47
43294,201,1,150.25
43294,204,36,2971.03
43294,210,1,195.61
43294,208,4,711.58
43295,307,10,2842.03
43295,216,39,3090.1
43295,201,2,328.86
43295,204,30,1848.35
43295,210,1,206.95
43295,205,1,277.83
43295,213,5,
43296,307,12,5776.21
43296,216,51,3572.04
43296,201,2,399.73
43296,204,40,2415.31
43296,213,9,
43297,307,3,1148.15
43297,127,1,340.19
43297,216,53,3430.29
43297,201,1,104.89
43297,204,44,2695.99
43297,208,1,96.39
43297,213,7,
43298,307,11,2239.61
43298,216,93,12927.37
43298,202,1,
43298,204,17,
43298,210,6,
43298,208,58,
43298,206,4,
43298,213,7,
43299,307,9,2438.06
43299,216,30,4677.67
43299,201,1,
43299,202,1,
43299,204,6,
43299,210,4,
43299,208,13,
43299,206,1,
43264,213,5,
43265,307,5,2579.8
43265,127,4,1247.38
43265,216,42,3883.88
43265,201,4,
43265,204,26,
43265,210,2,
43265,208,6,
43265,213,4,
43266,307,8,2579.8
43266,127,2,652.04
43266,216,16,3146.79
43266,201,2,
43266,204,6,
43266,210,6,
43266,208,1,
43266,205,1,
43267,307,12,5669.9
43267,127,2,907.18
43267,216,6,340.19
43267,204,5,
43268,307,2,368.54
43268,127,1,184.27
43268,216,457,69558.33
43268,201,39,
43268,202,3,
43268,204,90,
43268,210,29,
43268,208,296,
43269,307,1,340.19
43269,127,2,524.47
43269,216,147,24763.29
43269,201,12,
43269,204,17,
43269,210,17,
43269,208,100,
43269,206,1,
43270,307,3,1247.38
43270,216,76,13480.19
43270,201,6,
43270,204,13,
43270,210,7,
43270,208,43,
43270,206,1,
43270,205,2,
43270,213,4,
43271,307,10,3515.34
43271,127,2,765.44
43271,216,61,7739.41
43271,201,3,
43271,204,34,
43271,210,1,
43271,208,22,
43271,213,1,
43272,307,3,1927.77
43272,127,2,1048.93
43272,216,23,3090.1
43272,201,2,
43272,204,17,
43272,210,1,
43272,208,2,
43272,213,1,
43273,307,8,2409.71
43273,216,203,29611.05
43273,201,7,
43273,204,22,
43273,210,4,
43273,208,170,
43274,307,13,4309.12
43274,127,3,878.83
43274,216,95,11821.74
43274,201,1,
43274,204,36,
43274,210,3,
43274,208,48,
43274,213,7,
43275,307,9,3005.05
43275,127,1,297.67
43275,216,60,5216.31
43275,204,41,
43275,208,14,
43275,213,5,
43276,307,24,9511.26
43276,127,2,793.79
43276,216,32,3713.78
43276,201,4,
43276,204,20,
43276,210,1,
43276,208,7,
43277,307,17,8249.7
43277,127,3,1389.13
43277,216,28,1559.22
43277,204,27,
43277,213,1,
43278,307,3,646.37
43278,216,651,95254.32
43278,201,19,
43278,202,1,
43278,204,114,
43278,210,13,
43278,208,494,
43278,206,8,
43278,213,2,
43279,307,2,425.25
43279,216,225,35061.24
43279,201,16,
43279,204,57,
43279,210,12,
43279,208,138,
43279,206,2,
43280,216,94,15755.23
43280,201,12,
43280,204,26,
43280,210,6,
43280,208,47,
43280,213,3,
43281,127,1,340.19
43281,216,76,11935.14
43281,201,7,
43281,204,32,
43281,208,35,
43281,213,2,
43282,216,19,1247.38
43282,204,19,
43283,307,13,3569.19
43283,216,403,60752.98
43283,201,20,
43283,204,65,
43283,210,7,
43283,208,292,
43283,206,9,
43283,213,10,
43284,307,12,3166.66
43284,127,1,226.8
43284,216,163,24579.02
43284,201,4,
43284,204,45,
43284,208,103,
43284,206,3,
43285,307,16,4932.81
43285,127,3,1190.68
43285,201,4,
43285,204,18,
43285,210,2,
43285,206,4,
43286,307,21,7966.21
43286,216,41,6109.32
43286,201,2,
43286,210,1,
43286,208,13,
43286,207,1,
43287,307,20,9947.84
43287,216,27,1899.42
43287,204,26,
43287,210,1,
43288,127,1,255.15
43288,216,217,31751.44
43288,204,20,
43288,208,154,
43288,213,1,
43289,127,2,2324.66
43289,201,2,
43289,204,1,
43289,210,2,
43289,206,10,
43289,205,2,
43290,127,3,1133.98
43290,201,1,
43290,204,6,
43299,205,2,
43300,307,8,2154.56
43300,127,1,425.24
43300,216,18,1814.37
43300,208,5,
43300,213,1,
43301,127,3,1105.63
43301,216,20,2494.76
43301,201,2,
43301,208,1,
43301,207,2,
43301,213,2,
43302,127,4,2041.16
43302,216,10,3231.84
43302,203,1,290.58
43302,210,1,
43302,207,4,
43302,205,1,
43303,216,220,33225.61
43303,201,11,
43303,210,40,
43303,208,110,
43303,205,1,
43303,213,1,
43304,127,1,269.32
43304,216,60,9780.58
43304,201,13,
43304,210,12,
43304,208,16,
43304,206,2,
43304,205,1,
43305,307,3,784.51
43305,127,4,1332.43
43305,216,44,5443.1
43305,201,5,
43305,204,25,
43305,210,6,
43305,208,4,
43305,206,2,
43305,207,1,
43305,205,1,
43306,307,10,4145.46
43306,127,5,1814.37
43306,216,18,2898.74
43306,201,3,
42945,307,2,623.69
42945,216,9,793.79
42945,206,9,
42946,307,3,1190.68
42946,216,22,1842.72
42946,204,1,
42946,206,21,
42947,307,18,5159.61
42947,127,2,1275.73
42947,216,191,25514.55
42947,201,40,
42947,204,34,
42947,210,7,
42947,208,75,
42947,206,3,
42947,207,2,
42947,205,1,
42947,213,29,
42948,307,15,4365.82
42948,127,3,935.53
42948,216,127,15450.48
42948,201,32,
42948,204,41,
42948,210,7,
42948,205,1,
42948,213,9,
42949,127,3,907.18
42949,216,81,10517.66
42949,201,16,
42949,204,31,
42949,210,3,
42949,208,20,
42949,205,1,
42949,213,10,
42950,307,13,4989.51
43576,201,4,
43576,204,7,
43576,210,1,
43576,208,1,
43577,307,2,1190.68
43577,127,3,1445.82
43577,216,10,878.83
43577,201,1,
43577,204,8,
43577,213,1,
43578,307,8,1984.47
43578,216,249,37279.59
43578,201,8,
43578,204,57,
43578,208,20,
43578,206,158,
43578,207,1,
43578,205,1,
43578,213,4,
43579,307,13,3515.34
43579,216,73,13069.12
43579,201,7,
43579,204,16,
43579,210,6,
43579,208,6,
43579,206,35,
43579,207,2,
43579,213,1,
43580,307,11,3600.39
43580,127,3,1247.38
43580,216,34,5981.74
43580,204,9,
43580,208,1,
43580,206,18,
43580,207,2,
43580,205,3,
43580,213,1,
43581,307,6,2381.36
43581,127,1,311.84
43581,216,18,3373.59
43581,204,7,
43581,210,1,
43581,208,3,
43581,206,5,
43581,207,2,
43582,307,5,2324.66
43582,127,3,1559.22
43582,216,7,481.94
43582,204,7,
43583,307,12,3203.49
43583,127,1,248.06
43583,216,700,96473.35
43583,201,24,
43583,202,10,
43583,204,190,
43583,210,14,
43583,208,89,
43583,206,356,
43583,207,5,
43583,205,12,
43584,307,35,12473.78
43584,127,9,2756.99
43584,216,350,44281.92
43584,201,24,
43584,204,174,
43584,210,11,
43584,208,54,
43584,206,73,
43584,207,3,
43584,205,11,
43585,307,40,14458.25
43585,127,2,609.52
43585,216,272,36882.7
43585,201,29,
43585,204,108,
43585,210,8,
43585,208,16,
43585,206,90,
43585,207,4,
43585,205,17,
43586,307,20,6406.99
43586,127,8,3401.94
43586,216,150,13834.56
43586,201,3,
43586,202,1,
43586,204,101,
43586,208,4,
43586,206,21,
43586,207,4,
43586,205,2,
43586,213,14,
43587,307,18,8504.85
43587,127,8,3827.18
43587,216,137,10801.16
43587,201,3,
43587,204,108,
43587,208,1,
43587,206,24,
43587,207,1,
43588,307,2,425.24
43588,216,84,11538.25
43588,201,7,
43588,204,44,
43588,210,11,
43588,208,16,
43588,206,4,
43588,213,2,
43589,307,2,2494.76
43589,216,34,4053.98
43589,201,1,
43589,204,24,
43589,210,3,
43589,208,4,
43589,213,2,
43590,127,1,538.64
43590,216,37,3543.69
43590,201,1,
43590,204,28,
43590,210,3,
43590,208,1,
43590,213,4,
43591,216,14,1304.08
44267,204,37,4613.9
44267,210,7,
44267,208,22,3735.04
44267,203,7,1396.22
44267,213,1,
44268,307,23,7080.27
44268,127,5,1757.67
44268,216,29,4706.03
44268,201,6,1346.61
44268,204,14,1403.31
44268,210,3,765.44
44268,208,6,1190.67
44268,203,5,1112.72
44269,307,34,13143.85
44269,127,6,2296.31
44269,216,19,3288.54
44072,201,1,248.06
44072,202,7,2218.35
44072,204,7,524.47
44072,210,1,283.5
44072,213,1,
44073,307,6,1920.68
44073,216,28,5882.52
44073,202,14,3047.58
44073,204,2,418.15
44073,208,11,2133.29
44073,203,62,13699.89
44073,213,1,
44074,307,7,2239.61
44074,216,22,5478.58
44074,201,2,566.99
44074,202,9,2445.17
44074,204,3,680.4
44074,208,8,1786.02
44074,203,52,12204.48
44075,307,7,2331.75
44075,216,8,2225.44
44075,201,3,815.05
44075,202,3,843.4
44075,210,2,566.99
44075,203,49,12690.28
44076,307,38,7236.25
44076,216,39,6229.8
44076,201,3,552.82
44076,202,22,3614.56
44076,204,8,1336.48
44076,208,6,
44077,307,25,5372.27
44077,216,21,4103.59
44077,201,2,439.42
44077,202,15,3302.72
44077,204,2,311.85
44077,208,2,368.55
44078,307,18,4479.22
44078,216,14,2671.94
44078,202,9,2062.43
44078,204,5,609.51
44079,307,11,3146.8
44079,216,5,843.4
44079,202,3,765.44
44079,204,2,77.96
44080,307,23,5896.7
44080,216,133,24890.86
44080,201,9,1771.84
44080,202,18,3685.44
44080,204,21,3182.25
44080,210,2,439.42
44080,208,83,
44081,307,19,5655.73
44081,216,42,8915.9
44081,201,6,1885.24
44081,202,11,2197.09
44081,204,2,106.31
44081,210,1,212.62
44081,208,22,4514.64
44081,203,1,170.1
44082,307,16,5336.79
44082,216,10,2211.27
44082,201,4,1148.16
44082,202,1,219.71
44082,204,1,56.7
44082,208,4,786.7
44083,307,5,1516.7
44083,216,161,28916.49
44083,201,20,
44083,202,22,4465.05
44083,204,46,
44083,208,73,
44084,307,3,793.79
44084,127,2,1445.83
44084,216,83,16258.44
44084,201,7,
44084,202,14,3175.14
44084,204,26,
44084,210,3,
44084,208,33,
44085,307,5,1523.78
44085,127,6,1998.64
44085,216,51,10815.33
44085,201,9,
44085,202,6,1715.14
44085,204,25,
44085,208,11,
43307,307,16,10265.34
43307,127,4,1956.12
43307,216,13,779.61
43307,204,13,
43308,307,5,1315.41
43308,127,1,297.67
43308,216,207,30532.41
43308,201,12,
43308,202,4,
43308,204,64,
43308,210,61,
43308,208,52,
43308,206,11,
43308,213,3,
43309,307,5,1278.56
43309,127,2,652.04
43309,216,99,16159.22
43309,201,10,
43309,202,1,
43309,204,21,
43309,210,35,
43309,208,26,
43309,206,4,
43309,207,1,
43309,205,1,
43310,307,9,3246.02
43310,127,2,807.96
43310,216,56,8228.44
43310,201,3,
43310,202,2,
43310,204,27,
43310,210,17,
43310,208,4,
43310,206,2,
43310,205,1,
43311,307,11,3686.85
43311,127,4,1389.13
43311,216,35,5896.7
43311,201,7,
43311,204,13,
43311,210,10,
43311,208,5,
43312,307,3,969.56
43312,216,39,2601.07
43312,204,35,
43312,210,2,
43312,208,1,
43312,207,1,
43313,307,5,1397.63
43313,127,1,232.47
43313,216,97,6236.89
43313,201,2,391.22
43313,204,23,2523.09
43313,210,29,4992.33
43313,208,42,6234.01
43313,213,1,
43314,307,12,3798.83
43314,127,1,223.96
43314,216,45,7753.59
43314,204,9,1190.68
43314,210,16,3240.36
43314,208,18,2908.68
43314,213,2,
43315,307,10,3868.29
43315,216,27,3827.18
43315,201,2,430.92
43315,204,7,280.66
43315,210,4,853.33
